Description,Location,Links,State,Area,Price,Bedrooms,Bathrooms,Toilets,Agent_number,Added_on,Updated_on
Contemporary 4 Bedroom Terrace Duplex With Bq,Chevron Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-lekki-lagos-4GBUF,Lagos,Lekki,"4,000,000/year",4 beds,4 baths,5 Toilets,08057121358,17 Feb 2022,19 Feb 2022
Mini Flat,Sangotedo Ajah Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-sangotedo-ajah-lagos-8GAKT,Lagos,Ajah,"1,100,000",1 beds,1 baths,2 Toilets,09064090448,07 Feb 2022,19 Feb 2022
Furnished Office With Good Power Supply And Internet Facility,Awolowo Road Ikoyi Lagos,https://www.propertypro.ng/property/co-working-space-for-rent-awolowo-road-ikoyi-lagos-6FEUW,Lagos,Ikoyi,"1,000,000/year", beds, baths, Toilets,08181055075,18 Aug 2021,19 Feb 2022
Standard Two Bedroom Flats,Along Addo Road Ajah Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-along-addo-road-ajah-lagos-5GBTD,Lagos,Ajah,"1,300,000",0 beds,0 baths,0 Toilets,09050857650,17 Feb 2022,19 Feb 2022
800sqm+ Land With Office Building,Directly On Iju Ishaga Road Iju Ishaga Agege Lagos,https://www.propertypro.ng/property/land-for-rent-directly-on-iju-ishaga-road-iju-ishaga-agege-lagos-1FZAT,Lagos,Agege,"5,000,000/year",0 beds,0 baths,0 Toilets,07061276409,28 Jan 2022,19 Feb 2022
3 Bedrooms Duplex,Basorun Housing Estate Akobo Ibadan Oyo,https://www.propertypro.ng/property/2-bedroom-house-for-rent-basorun-housing-estate-akobo-ibadan-oyo-1FZZC,Oyo,Ibadan,"1,500,000/year",2 beds,2 baths,3 Toilets,09026318426,04 Feb 2022,19 Feb 2022
2 Bedroom Flat,Olokonla Ajah Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-olokonla-ajah-lagos-4FZTT,Lagos,Ajah,"950,000",2 beds,2 baths,2 Toilets,08137224561,02 Feb 2022,19 Feb 2022
Newly Built Fully Service 4 Bedroom Terrace Duplex With Fitted Kitchen And Bq,Off Kusenla Road Ikate Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-off-kusenla-road-ikate-lekki-lagos-6FYAZ,Lagos,Lekki,"6,500,000",4 beds,4 baths,5 Toilets,08133194443,20 Jan 2022,19 Feb 2022
Contemporary Brand New 4 Bedroom Semi Detached Duplex With Bq,Chevron Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-lekki-lagos-8FXYL,Lagos,Lekki,"5,000,000",4 beds,5 baths,5 Toilets,09053588424,20 Jan 2022,19 Feb 2022
Spacious Fully Service 4bedroom Terrace Duplex,By Mega Chicken Ikota Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-by-mega-chicken-ikota-lekki-lagos-3FWKT,Lagos,Lekki,"3,500,000",4 beds,4 baths,5 Toilets,08133194443,06 Jan 2022,19 Feb 2022
