Description,Location,Links,State,Area,Price,Bedrooms,Bathrooms,Toilets,Agent_number,Added_on,Updated_on
4 Bedroom Detached Duplex With Bq,Buraimo Kenku Street Off Oyin Jolayemi Street Victoria Island Lagos,https://www.propertypro.ng/property/house-for-rent-buraimo-kenku-street-off-oyin-jolayemi-street-victoria-island-lagos-2FYRY,Lagos,Island,"15,000,000",0 beds,0 baths,0 Toilets,09029062684,25 Jan 2022,22 Feb 2022
Spacious Mini Flat,Off Ajiran Road Agungi Lekki Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-off-ajiran-road-agungi-lekki-lagos-0FZSQ,Lagos,Lekki,"1,200,000/year",0 beds,0 baths,0 Toilets,09061623299,02 Feb 2022,22 Feb 2022
Spacious 3 Bedroom Flat,Kilo Marsha Surulere Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-kilo-marsha-surulere-lagos-8GBXA,Lagos,Surulere,"1,200,000/year",3 beds,2 baths,2 Toilets,09061623299,18 Feb 2022,22 Feb 2022
Mini Flat,Iju Ishaga Agege Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-iju-ishaga-agege-lagos-6GANQ,Lagos,Agege,"400,000/year",0 beds,0 baths,0 Toilets,09061623299,08 Feb 2022,22 Feb 2022
Very Nice 4 Bedrooms Semi Detached Duplex With A Bq,Ikota Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikota-lekki-lagos-8GASC,Lagos,Lekki,"5,000,000/year",4 beds,4 baths,5 Toilets,08037557097,09 Feb 2022,22 Feb 2022
4 Bedroom Maisonette With Bq,Ikoyi Lagos,https://www.propertypro.ng/property/house-for-rent-ikoyi-lagos-7GBTH,Lagos,Ikoyi,"15,000,000",0 beds,0 baths,0 Toilets,08169254214,17 Feb 2022,22 Feb 2022
Newly Built 4 Units Of 4bedroom Terrace,Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-banana-island-ikoyi-lagos-3FZWW,Lagos,Ikoyi,"25,000,000",4 beds,4 baths,5 Toilets,07030820139,03 Feb 2022,22 Feb 2022
Executive And Lovely 3 Bedroom Flat,Abule Egba Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-abule-egba-lagos-6GBCT,Lagos,Egba,"1,500,000/year", beds, baths, Toilets,09061623299,12 Feb 2022,22 Feb 2022
Newly Built 4 Bedroom Terrace Duplex,Orchid Hotel Road Chevron Tollgate Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-orchid-hotel-road-chevron-tollgate-lekki-lagos-0FXMR,Lagos,Lekki,"3,500,000",4 beds,4 baths,5 Toilets,09034504273,17 Jan 2022,22 Feb 2022
Newly Built Fully Detached 5 Bedroom House +bq+ Cinema+ Swimming Pool+elevator,Old Ikoyi Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-sale-old-ikoyi-old-ikoyi-ikoyi-lagos-4FWCP,Lagos,Ikoyi,"850,000,000",5 beds,5 baths,6 Toilets,08124269637,04 Jan 2022,24 Feb 2022
3 Bedroom Flat With 1 Room Bq,Extension Asokoro Abuja,https://www.propertypro.ng/property/flat-apartment-for-rent-extension-asokoro-abuja-8FWGR,Abuja,Asokoro,"4,500,000",0 beds,0 baths,0 Toilets,08167426402,05 Jan 2022,22 Feb 2022
Standard 5 Bedroom With Bq,Jahi Abuja,https://www.propertypro.ng/property/5-bedroom-house-for-rent-jahi-abuja-3FYLX,Abuja,Jahi,"4,000,000/year",5 beds,5 baths,6 Toilets,08160442385,24 Jan 2022,22 Feb 2022
Newly Renovated Five Bedroom Detached Duplex,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-lekki-phase-1-lekki-lagos-4FZAM,Lagos,Lekki,"12,000,000/year",5 beds,5 baths,6 Toilets,08139265236,28 Jan 2022,22 Feb 2022
5 Bedroom Semi Detached Duplex,Marwa Lekki Phase1 Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-marwa-lekki-phase1-lekki-lagos-4FYRY,Lagos,Lekki,"10,000,000",5 beds,5 baths,5 Toilets,09029062684,25 Jan 2022,22 Feb 2022
A Self Serviced 3 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/house-for-rent-lekki-phase-1-lekki-lagos-2FYLP,Lagos,Lekki,"4,000,000/year",0 beds,0 baths,0 Toilets,09061623299,24 Jan 2022,22 Feb 2022
Newly Built And Fully Furnished 3 Bedroom Terrace Duplex,Lekki Palm City Estate Ajah Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-lekki-palm-city-estate-ajah-lagos-0FXRW,Lagos,Ajah,"4,500,000",3 beds,3 baths,4 Toilets,08037557097,18 Jan 2022,22 Feb 2022
Newly Built 4 Bedrooms Terrace Duplex,Marwa Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/house-for-rent-marwa-lekki-phase-1-lekki-lagos-7GAYN,Lagos,Lekki,"7,000,000/year",0 beds,0 baths,0 Toilets,08037557097,11 Feb 2022,22 Feb 2022
3 Bedroom Flat,Borno Way Yaba Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-borno-way-yaba-lagos-5GBKU,Lagos,Yaba,"2,000,000/year",0 beds,0 baths,0 Toilets,09061623299,15 Feb 2022,22 Feb 2022
908sqm High End Serviced Office Space,Off Alfred Rewane Road Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/commercial-property-for-rent-off-alfred-rewane-road-old-ikoyi-ikoyi-lagos-9FEHM,Lagos,Ikoyi,750/sqm, beds, baths,8 Toilets,08059149400,16 Aug 2021,22 Feb 2022
3 Bedroom Apartment,Alagomeji Yaba Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-alagomeji-yaba-lagos-0GAVS,Lagos,Yaba,"2,200,000/year",0 beds,0 baths,0 Toilets,09061623299,10 Feb 2022,22 Feb 2022
A 3 Bedroom Flat,By Cedercrest Hospital Apo Abuja,https://www.propertypro.ng/property/3-bedroom-house-for-rent-by-cedercrest-hospital-apo-abuja-7FZYT,Abuja,Apo,"5,000,000/year",3 beds,3 baths,4 Toilets,08160442385,04 Feb 2022,22 Feb 2022
Recently Renovated City View 4 Bedroom Apartment + Bq + Gym + Tennis Court + Squash + Pool+gym Etc In Ocean Parade Banana Island,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-banana-island-estate-banana-island-ikoyi-lagos-8FVLS,Lagos,Ikoyi,"12,000,000",4 beds,4 baths,5 Toilets,08124269637,23 Dec 2021,24 Feb 2022
Newly Built 2 Bedroom Flat,Onike Yaba Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-onike-yaba-lagos-0GAVV,Lagos,Yaba,"2,000,000/year",0 beds,2 baths,3 Toilets,09061623299,10 Feb 2022,22 Feb 2022
A Self Compound Building With 6 Offices And 2 Big Conference Rooms With Warehouse,Uch Area Facing Main Road Agodi Ibadan Oyo,https://www.propertypro.ng/property/commercial-property-for-rent-uch-area-facing-main-road-agodi-ibadan-oyo-0FZQP,Oyo,Ibadan,"8,000,000", beds, baths, Toilets,09023730900,01 Feb 2022,22 Feb 2022
Newly Built Miniflat,Ojodu Estate Ojodu Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ojodu-estate-ojodu-lagos-8GANX,Lagos,Ojodu,"1,200,000/year",1 beds,1 baths,1 Toilets,08165035582,08 Feb 2022,22 Feb 2022
Lovely 5 Bedroom Duplex,Fola Agoro Shomolu Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-fola-agoro-shomolu-lagos-6FVDK,Lagos,Shomolu,"1,800,000/year",5 beds,0 baths,0 Toilets,09061623299,20 Dec 2021,22 Feb 2022
Office Space,Bassey Ogamba Adeniran Ogunsanya Surulere Lagos,https://www.propertypro.ng/property/commercial-property-for-rent-bassey-ogamba-adeniran-ogunsanya-surulere-lagos-2FNRE,Lagos,Surulere,"1,800,000/year",0 beds,0 baths,0 Toilets,09061623299,21 Oct 2021,22 Feb 2022
4 Bedroom Terrace Duplex With A Bq,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-lekki-phase-1-lekki-lagos-4FWCB,Lagos,Lekki,"7,500,000/year",4 beds,4 baths,5 Toilets,08139265236,03 Jan 2022,22 Feb 2022
Tastefully Newly Built 2 Bedroom Inside An Estate,Isheri North Ojodu Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-isheri-north-ojodu-lagos-3FYKH,Lagos,Ojodu,"1,100,000/year",2 beds,2 baths,3 Toilets,09061623299,24 Jan 2022,22 Feb 2022
3 Bedroom Apartment,Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-ikoyi-lagos-8GATS,Lagos,Ikoyi,"5,000,000/year",3 beds,3 baths,4 Toilets,08139265236,09 Feb 2022,22 Feb 2022
A Lovely Spacious Mini Flat,Berger Ojodu Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-berger-ojodu-lagos-8GARS,Lagos,Ojodu,"500,000/year",0 beds,0 baths,0 Toilets,09061623299,09 Feb 2022,22 Feb 2022
Riverwood Estate,Lakowe Ajah Lagos,https://www.propertypro.ng/property/land-for-sale-lakowe-ajah-lagos-2FSDJ,Lagos,Ajah,"12,690,000",0 beds,0 baths,0 Toilets,08132874237,22 Nov 2021,22 Feb 2022
Superb And Lovely 3 Bedroom Flat,Ipaja Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-ipaja-lagos-6FYPJ,Lagos,Ipaja,"450,000/year",3 beds,3 baths,3 Toilets,09061623299,25 Jan 2022,22 Feb 2022
Very Beautiful And Superb 4 Bedroom Terrace Duplex,Orioke Ogudu Lagos,https://www.propertypro.ng/property/house-for-rent-orioke-ogudu-lagos-3GBGP,Lagos,Ogudu,"2,500,000/year",0 beds,0 baths,0 Toilets,09061623299,14 Feb 2022,22 Feb 2022
Spacious Self Serviced Mini Flat,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-lekki-phase-1-lekki-lagos-1FVMV,Lagos,Lekki,"2,200,000/year",0 beds,0 baths,0 Toilets,09061623299,24 Dec 2021,22 Feb 2022
A Tastefully Finished Luxury 2 Bedroom Apartment With Excellent Modern Facilities,Samonda Samonda Ibadan Oyo,https://www.propertypro.ng/property/2-bedroom-house-for-rent-samonda-samonda-ibadan-oyo-0FYAF,Oyo,Ibadan,"1,500,000",2 beds,2 baths,3 Toilets,08156968495,20 Jan 2022,22 Feb 2022
4 Bedroom Semi Detached Duplex,Lekki Palm City Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-lekki-palm-city-lekki-lagos-3FZUR,Lagos,Lekki,"4,000,000",4 beds,4 baths,5 Toilets,08037557097,03 Feb 2022,22 Feb 2022
Newly Built Executive 3 Bedroom Flat,Sabo Yaba Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-sabo-yaba-lagos-1FYZT,Lagos,Yaba,"3,000,000/year",0 beds,0 baths,0 Toilets,09061623299,28 Jan 2022,22 Feb 2022
Tastefully Standard 3 Bedroom Apartment,Jahi Jahi Abuja,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-jahi-jahi-abuja-7FXEJ,Abuja,Jahi,"2,700,000",3 beds,3 baths,4 Toilets,08111113467,14 Jan 2022,22 Feb 2022
Decent Mini Flat,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-lekki-phase-1-lekki-lagos-8FVWH,Lagos,Lekki,"1,800,000/year",0 beds,0 baths,0 Toilets,09061623299,30 Dec 2021,22 Feb 2022
Spacious 2 Bedroom Flat,Ifako Ogba Ogba Lagos,https://www.propertypro.ng/property/2-bedroom-house-for-rent-ifako-ogba-ogba-lagos-7FYNX,Lagos,Ogba,"1,000,000/year",2 beds,0 baths,0 Toilets,09061623299,25 Jan 2022,22 Feb 2022
Fully Furnished 4 Bedroom With A Bq,Legislative Quarters Zone D Apo Abuja,https://www.propertypro.ng/property/4-bedroom-house-for-rent-legislative-quarters-zone-d-apo-abuja-4FWUS,Abuja,Apo,"8,000,000/year",4 beds,4 baths,5 Toilets,08160442385,10 Jan 2022,22 Feb 2022
Luxury 3 Bedroom Apartment,Ifako Ogba Ogba Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-ifako-ogba-ogba-lagos-7GAUQ,Lagos,Ogba,"1,500,000/year",0 beds,0 baths,0 Toilets,09061623299,10 Feb 2022,22 Feb 2022
Waterfront 3 Bedroom Apartment +bq + Swimming Pool + Sauna + Gym + Underground Parking,Ligali Ayorinde Victoria Island Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-ligali-ayorinde-victoria-island-lagos-6FYCN,Lagos,Island,"16,100,000",3 beds,3 baths,4 Toilets,08124269637,21 Jan 2022,24 Feb 2022
Very Sweet 4 Bedroom Semi Detached Duplex,In An Estate Off Adeniyi Jones Adeniyi Jones Ikeja Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-in-an-estate-off-adeniyi-jones-adeniyi-jones-ikeja-lagos-2FWFE,Lagos,Ikeja,"5,000,000/year",4 beds,0 baths,0 Toilets,09061623299,05 Jan 2022,22 Feb 2022
4 Bedroom Fully Detached Duplex With A Bq,Ikota Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikota-lekki-lagos-6FZSM,Lagos,Lekki,"4,000,000/year",4 beds,4 baths,5 Toilets,08139265236,02 Feb 2022,22 Feb 2022
3 Bedroom Flat,Off Odubawo Abule Egba Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-off-odubawo-abule-egba-lagos-4GBCR,Lagos,Egba,"1,000,000/year",0 beds,0 baths,0 Toilets,09061623299,12 Feb 2022,22 Feb 2022
Very Tasteful 4 Bedroom Semi Detached Duplex,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-lekki-phase-1-lekki-lagos-6FWPH,Lagos,Lekki,"5,500,000/year",4 beds,0 baths,0 Toilets,09061623299,08 Jan 2022,22 Feb 2022
Decent Mini Flat,Airport Road(ikeja) Ikeja Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-airport-roadikeja-ikeja-lagos-3FYTB,Lagos,Ikeja,"650,000/year",0 beds,0 baths,0 Toilets,09061623299,26 Jan 2022,22 Feb 2022
Lovely 2 Bedroom Flat With Pop,Okealo Gbagada Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-okealo-gbagada-lagos-0FUYM,Lagos,Gbagada,"1,700,000/year",0 beds,0 baths,0 Toilets,09061623299,17 Dec 2021,22 Feb 2022
Newly Built 3 Bedroom Apartment,Ikate Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-ikate-lekki-lagos-2FWSM,Lagos,Lekki,"5,000,000/year",3 beds,3 baths,4 Toilets,08139265236,10 Jan 2022,22 Feb 2022
Newly Built 2 Bedroom Flat,Onike Yaba Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-onike-yaba-lagos-3FYZQ,Lagos,Yaba,"1,100,000/year",0 beds,0 baths,0 Toilets,09061623299,28 Jan 2022,22 Feb 2022
A Spacious Office Space In A Nice Environment,Emma Abimbola Cole Street Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/commercial-property-for-rent-emma-abimbola-cole-street-lekki-phase-1-lekki-lagos-3FPYP,Lagos,Lekki,"1,500,000/year", beds, baths, Toilets,09061623299,02 Nov 2021,22 Feb 2022
"Exquisitely Finished 5 Bedroom Detached House With Lagoon View,","Megamound Estate, Lekki County Homes, Ikota Lekki Lagos",https://www.propertypro.ng/property/5-bedroom-house-for-sale-megamound-estate-lekki-county-homes-ikota-lekki-lagos-2FQGE,Lagos,Lekki,"200,000,000",5 beds,5 baths,6 Toilets,07057302511,04 Nov 2021,24 Feb 2022
Sweet And Lovely 2 Bedroom Flat,Jibowu Yaba Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-jibowu-yaba-lagos-0GARA,Lagos,Yaba,"2,000,000/year",0 beds,2 baths,3 Toilets,09061623299,09 Feb 2022,22 Feb 2022
3 Bedroom Terrace Duplex,Ilasan Lekki Lagos,https://www.propertypro.ng/property/house-for-rent-ilasan-lekki-lagos-6FXFS,Lagos,Lekki,"75,000,000",0 beds,0 baths,0 Toilets,08169254214,14 Jan 2022,22 Feb 2022
Office Space,Oniru Victoria Island Lagos,https://www.propertypro.ng/property/commercial-property-for-rent-oniru-victoria-island-lagos-6FKDB,Lagos,Island,"1,300,000/year", beds, baths,2 Toilets,09087744002,21 Sep 2021,22 Feb 2022
Standard 4 Bedroom With Bq,Enl Estate Guzape Abuja,https://www.propertypro.ng/property/4-bedroom-house-for-rent-enl-estate-guzape-abuja-6FZAF,Abuja,Guzape,"4,500,000/year",4 beds,4 baths,5 Toilets,08160442385,28 Jan 2022,22 Feb 2022
Executive 3 Bedroom Apartment,Bourdillon Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-bourdillon-ikoyi-lagos-9FYJQ,Lagos,Ikoyi,"130,000",3 beds,3 baths,4 Toilets,08039139778,24 Jan 2022,22 Feb 2022
Newly Built 3 Bedroom Terrace Duplex,Ikota Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-ikota-lekki-lagos-7FZJU,Lagos,Lekki,"3,000,000",3 beds,3 baths,4 Toilets,09034504273,31 Jan 2022,22 Feb 2022
Nicely Finished Spacious Office Space,Wuse 2 Wuse 2 Abuja,https://www.propertypro.ng/property/commercial-property-for-rent-wuse-2-wuse-2-abuja-4FHTF,Abuja,2,"50,000/sqm",0 beds,0 baths,1 Toilets,08111113467,09 Sep 2021,22 Feb 2022
Executive Mini Flat,Alagbole Yakoyo Alagbole Ojodu Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-alagbole-yakoyo-alagbole-ojodu-lagos-3FYQM,Lagos,Ojodu,"450,000/year",1 beds,0 baths,0 Toilets,09061623299,25 Jan 2022,22 Feb 2022
2 Bedroom Flat,Lekki County Lekki Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-lekki-county-lekki-lagos-7FYUT,Lagos,Lekki,"2,500,000",2 beds,2 baths,3 Toilets,09034504273,26 Jan 2022,22 Feb 2022
4 Bedroom Semi Detached Duplex,Ajah Lagos,https://www.propertypro.ng/property/house-for-rent-ajah-lagos-9FTGM,Lagos,Ajah,"55,000,000",0 beds,0 baths,0 Toilets,08165920863,01 Dec 2021,22 Feb 2022
Luxury Serviced 3 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-lekki-phase-1-lekki-lagos-7FXLV,Lagos,Lekki,"5,000,000",3 beds,3 baths,4 Toilets,09067320607,16 Jan 2022,22 Feb 2022
Waterfront 3 Bedroom Apartment +bq + Swimming Pool + Sauna + Gym + Underground Parking,Ligali Ayorinde Victoria Island Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-ligali-ayorinde-victoria-island-lagos-6FYCN,Lagos,Island,"16,100,000",3 beds,3 baths,4 Toilets,08124269637,21 Jan 2022,24 Feb 2022
2 Bedroom Flat,Off Abiodun Street Shomolu Shomolu Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-off-abiodun-street-shomolu-shomolu-lagos-1GAVX,Lagos,Shomolu,"1,200,000/year",2 beds,2 baths,3 Toilets,09061623299,10 Feb 2022,22 Feb 2022
Executive 2 Bedroom Flat In An Estate,Ifako Gbagada Gbagada Lagos,https://www.propertypro.ng/property/house-for-rent-ifako-gbagada-gbagada-lagos-1FYSR,Lagos,Gbagada,"1,500,000/year",0 beds,0 baths,0 Toilets,09061623299,26 Jan 2022,22 Feb 2022
Standard 3 Bedroom Apartment,Jahi Abuja,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-jahi-abuja-9FZXH,Abuja,Jahi,"2,500,000/year",3 beds,3 baths,4 Toilets,08160442385,03 Feb 2022,22 Feb 2022
Beautiful And Spacious 2 Bedroom Flat With Bq,Adeniyi Jones Ikeja Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-adeniyi-jones-ikeja-lagos-1FYXP,Lagos,Ikeja,"2,500,000/year",0 beds,0 baths,0 Toilets,09061623299,27 Jan 2022,22 Feb 2022
3 Bedroom Flat,Lekky County Ikota Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-lekky-county-ikota-lekki-lagos-8FYUU,Lagos,Lekki,"2,500,000",3 beds,3 baths,4 Toilets,09034504273,26 Jan 2022,22 Feb 2022
4 Bedroom Terrace Duplex With Bq,Oniru Victoria Island Lagos,https://www.propertypro.ng/property/house-for-rent-oniru-victoria-island-lagos-2FSGK,Lagos,Island,"9,000,000",0 beds,0 baths,0 Toilets,08169254214,23 Nov 2021,22 Feb 2022
Brand New 4 Bedroom Terrace Duplex,Oniru Victoria Island Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-oniru-victoria-island-lagos-6FZHJ,Lagos,Island,"8,500,000/year",0 beds,0 baths,0 Toilets,09061623299,31 Jan 2022,22 Feb 2022
Newly Built Studio Apartment With Pop In Ogudu,Ogudu Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-ogudu-lagos-1FUVV,Lagos,Ogudu,"500,000/year", beds, baths, Toilets,09061623299,16 Dec 2021,22 Feb 2022
Tastefully And Luxurious Spacious Office Space Measuring About 1500sqm With 3 Toilet And Bathroom In Jabi,Jabi Jabi Abuja,https://www.propertypro.ng/property/commercial-property-for-rent-jabi-jabi-abuja-5FSAY,Abuja,Jabi,"25,000/sqm", beds,3 baths,3 Toilets,08111113467,21 Nov 2021,22 Feb 2022
5 Bedroom Detached House,Olawale Idris Close To Admiralty Way Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-sale-olawale-idris-close-to-admiralty-way-lekki-phase-1-lekki-lagos-5FZBU,Lagos,Lekki,"300,000,000",5 beds,5 baths,6 Toilets,08034918616,28 Jan 2022,24 Feb 2022
Brand New And Decent Mini Flat,"Off Ilaje, Close To Unilag Yaba Lagos",https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-off-ilaje-close-to-unilag-yaba-lagos-4GAGA,Lagos,Yaba,"600,000/year",1 beds,1 baths,1 Toilets,09061623299,06 Feb 2022,22 Feb 2022
Lovely And Spacious 3 Bedroom Flat,Akesan Alimosho Lagos,https://www.propertypro.ng/property/house-for-rent-akesan-alimosho-lagos-7FYLM,Lagos,Alimosho,"600,000/year",0 beds,0 baths,0 Toilets,09061623299,24 Jan 2022,22 Feb 2022
Newly Built 2 Bedroom And Miniflats,Egbeda Alimosho Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-egbeda-alimosho-lagos-0FZHY,Lagos,Alimosho,"850,000/year",0 beds,0 baths,0 Toilets,09061623299,31 Jan 2022,22 Feb 2022
Newly Built 2 & 3 Bedroom Flat,Liberty Stadium Road Ring Rd Ibadan Oyo,https://www.propertypro.ng/property/2-bedroom-house-for-rent-liberty-stadium-road-ring-rd-ibadan-oyo-6FYSV,Oyo,Ibadan,"500,000",2 beds,3 baths,3 Toilets,09023730900,26 Jan 2022,22 Feb 2022
5 Bedroom Detached Duplex,Oko Oba Road Agege Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-oko-oba-road-agege-lagos-0FZFJ,Lagos,Agege,"1,800,000",5 beds,5 baths,6 Toilets,07030820139,30 Jan 2022,22 Feb 2022
A Newly Built Mini Flat,Akoka Yaba Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-akoka-yaba-lagos-0GAHQ,Lagos,Yaba,"1,100,000/year",0 beds,0 baths,0 Toilets,09061623299,07 Feb 2022,22 Feb 2022
A Lovely Mini Flat With Pop Ceiling And Car Park,Ebute Metta Yaba Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-ebute-metta-yaba-lagos-2FPEW,Lagos,Yaba,"750,000/year",0 beds,0 baths,0 Toilets,09061623299,26 Oct 2021,22 Feb 2022
A Neat And Serene Office Space,Bassey Ogamba Adeniran Ogunsanya Surulere Lagos,https://www.propertypro.ng/property/commercial-property-for-rent-bassey-ogamba-adeniran-ogunsanya-surulere-lagos-8FNRC,Lagos,Surulere,"1,500,000/year",0 beds,0 baths,0 Toilets,09061623299,21 Oct 2021,22 Feb 2022
Brand New Mini Flat,Adekunle Yaba Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-adekunle-yaba-lagos-4FZYR,Lagos,Yaba,"800,000/year",0 beds,0 baths,0 Toilets,09061623299,04 Feb 2022,22 Feb 2022
Newly Built 4 Bedroom Duplex,Ikolaba Gra Bodija Ibadan Oyo,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikolaba-gra-bodija-ibadan-oyo-2FVAR,Oyo,Ibadan,"3,500,000",4 beds,5 baths,5 Toilets,09023730900,18 Dec 2021,22 Feb 2022
Newly Built 3 Bedroom Flat,Omolayo Estate Akobo Ibadan Oyo,https://www.propertypro.ng/property/3-bedroom-house-for-rent-omolayo-estate-akobo-ibadan-oyo-0FYMM,Oyo,Ibadan,"850,000",3 beds,4 baths,4 Toilets,09023730900,24 Jan 2022,22 Feb 2022
